x;y 
0;0
-1,000826;0,193643
-1,95924;0,379667
-2,875798;0,558186
-3,751055;0,729313
-4,585568;0,893161
-5,379892;1,049845
-6,134582;1,199478
-6,850194;1,342173
-7,527285;1,478043
-8,166409;1,607202
-8,768123;1,729764
-9,332981;1,845842
-9,861541;1,95555
-10,354357;2,059
-10,811985;2,156307
-11,234981;2,247584
-11,623901;2,332944
-11,9793;2,412501
-12,301734;2,486368
-12,591758;2,554659
-12,849929;2,617488
-13,076802;2,674967
-13,272933;2,72721
-13,438877;2,774331
-13,57519;2,816443
-13,682429;2,85366
-13,761147;2,886094
-13,811902;2,913861
-13,835249;2,937072
-13,831744;2,955842
-13,801942;2,970283
-13,746399;2,980511
-13,665671;2,986637
-13,560313;2,988775
-13,430881;2,98704
-13,277931;2,981543
-13,102019;2,9724
-12,903699;2,959722
-12,683529;2,943625
-12,442063;2,92422
-12,179858;2,901623
-11,897469;2,875945
-11,595451;2,847301
-11,274361;2,815805
-10,934753;2,781568
-10,577185;2,744706
-10,202211;2,705331
-9,810387;2,663558
-9,402269;2,619498
-8,978413;2,573267
-8,539374;2,524977
-8,085708;2,474742
-7,61797;2,422675
-7,136717;2,36889
-6,642504;2,3135
-6,135887;2,256619
-5,617421;2,19836
-5,087663;2,138837
-4,547167;2,078163
-3,996489;2,016452
-3,436186;1,953817
-2,866813;1,890371
-2,288926;1,826228
-1,70308;1,761502
-1,109831;1,696306
-0,509734;1,630753
0,096654;1,564958
0,708778;1,499032
1,326082;1,433091
1,94801;1,367247
2,574008;1,301613
3,203518;1,236304
3,835986;1,171433
4,470856;1,107113
5,107571;1,043457
5,745577;0,98058
6,384317;0,918595
7,023237;0,857614
7,661779;0,797752
8,29939;0,739122
8,935512;0,681838
9,56959;0,626012
10,201068;0,57176
10,829392;0,519193
11,454004;0,468425
12,07435;0,41957
12,689873;0,372742
13,300018;0,328053
13,90423;0,285618
14,501952;0,24555
15,092629;0,207961
15,675705;0,172967
16,250624;0,140679
16,816832;0,111213
17,373771;0,08468
17,920887;0,061195
18,457623;0,040871
18,983425;0,023821
19,497736;0,01016
20;0
20,489773;-0,006571
20,967055;-0,009571
21,431955;-0,009043
21,884585;-0,005029
22,325054;0,002425
22,753473;0,013277
23,169953;0,027483
23,574603;0,045001
23,967535;0,065786
24,348859;0,089795
24,718684;0,116985
25,077123;0,147312
25,424284;0,180733
25,760279;0,217204
26,085218;0,256682
26,399211;0,299124
26,702369;0,344486
26,994803;0,392725
27,276621;0,443797
27,547936;0,497659
27,808858;0,554267
28,059496;0,613578
28,299961;0,675549
28,530365;0,740136
28,750816;0,807296
28,961427;0,876985
29,162306;0,94916
29,353565;1,023777
29,535313;1,100794
29,707662;1,180166
29,870722;1,26185
30,024603;1,345803
30,169416;1,431981
30,305271;1,520341
30,432278;1,61084
30,550548;1,703434
30,660192;1,798079
30,761319;1,894733
30,854041;1,993351
30,938467;2,093891
31,014708;2,196308
31,082875;2,30056
31,143078;2,406603
31,195427;2,514394
31,240033;2,623889
31,277006;2,735045
31,306457;2,847818
31,328496;2,962166
31,343233;3,078043
31,35078;3,195408
31,351245;3,314217
31,344741;3,434425
31,331377;3,555991
31,311263;3,67887
31,284511;3,803019
31,25123;3,928394
31,211531;4,054953
31,165524;4,182651
31,11332;4,311446
31,05503;4,441293
30,990763;4,57215
30,92063;4,703973
30,844742;4,836718
30,763209;4,970343
30,676141;5,104803
30,583649;5,240056
30,485843;5,376057
30,382834;5,512764
30,274732;5,650133
30,161647;5,78812
30,043691;5,926683
29,920973;6,065777
29,793603;6,20536
29,661693;6,345388
29,525353;6,485817
29,384693;6,626604
29,239823;6,767705
29,090854;6,909078
28,937897;7,050679
28,781062;7,192464
28,620458;7,33439
28,456198;7,476413
28,288391;7,618491
28,117147;7,760579
27,942577;7,902634
27,764792;8,044613
27,583901;8,186473
27,400016;8,328169
27,213246;8,469659
27,023703;8,610899
26,831496;8,751846
26,636736;8,892455
26,439533;9,032685
26,239999;9,172491
26,038242;9,31183
25,834375;9,450659
25,628506;9,588934
25,420747;9,726611
25,211208;9,863648
25;10
24,787223;10,135637
24,572941;10,270577
24,357207;10,40485
24,140077;10,538485
23,921603;10,671514
23,70184;10,803967
23,480842;10,935873
23,258662;11,067264
23,035355;11,198169
22,810975;11,328618
22,585575;11,458642
22,35921;11,58827
22,131934;11,717534
21,9038;11,846464
21,674862;11,975089
21,445176;12,10344
21,214793;12,231547
20,98377;12,35944
20,752158;12,48715
20,520013;12,614706
20,287389;12,74214
20,054339;12,869481
19,820917;12,996759
19,587178;13,124005
19,353175;13,251249
19,118962;13,378521
18,884594;13,505852
18,650124;13,633271
18,415606;13,760809
18,181094;13,888496
17,946643;14,016363
17,712305;14,144438
17,478136;14,272754
17,244189;14,40134
17,010518;14,530226
16,777178;14,659442
16,544221;14,789019
16,311702;14,918988
16,079676;15,049377
15,848195;15,180217
15,617315;15,31154
15,387088;15,443374
15,157569;15,57575
14,928812;15,708698
14,700871;15,842249
14,4738;15,976433
14,247653;16,11128
14,022484;16,24682
13,798346;16,383083
13,575295;16,5201
13,353383;16,657901
13,132664;16,796517
12,913194;16,935976
12,695025;17,07631
12,478212;17,217549
12,262808;17,359724
12,048868;17,502863
11,836446;17,646998
11,625595;17,792159
11,41637;17,938375
11,208825;18,085678
11,003013;18,234098
10,798988;18,383664
10,596805;18,534407
10,396518;18,686357
10,198179;18,839544
10,001845;18,993999
9,807567;19,149752
9,615401;19,306833
9,425401;19,465273
9,237619;19,6251
9,052111;19,786347
8,868931;19,949042
8,688131;20,113217
8,509767;20,278901
8,333892;20,446125
8,16056;20,614919
7,989826;20,785313
7,821742;20,957337
7,656364;21,131022
7,493744;21,306398
7,333938;21,483495
7,176999;21,662343
7,022981;21,842972
6,871938;22,025414
6,723924;22,209697
