x;y 
0;0
0,218168;-0,02572
0,436326;-0,051424
0,654462;-0,077097
0,872565;-0,102724
1,090624;-0,12829
1,308629;-0,153778
1,526569;-0,179173
1,744432;-0,204461
1,962208;-0,229625
2,179886;-0,25465
2,397454;-0,279521
2,614903;-0,304222
2,832221;-0,328738
3,049398;-0,353053
3,266421;-0,377152
3,483282;-0,40102
3,699967;-0,424641
3,916468;-0,447999
4,132772;-0,47108
4,348869;-0,493867
4,564748;-0,516346
4,780398;-0,5385
4,995808;-0,560315
5,210968;-0,581775
5,425865;-0,602865
5,640491;-0,623569
5,854833;-0,643871
6,06888;-0,663757
6,282622;-0,683211
6,496048;-0,702217
6,709147;-0,72076
6,921908;-0,738825
7,13432;-0,756396
7,346372;-0,773457
7,558054;-0,789994
7,769354;-0,805991
7,980262;-0,821432
8,190766;-0,836302
8,400856;-0,850585
8,610521;-0,864267
8,819749;-0,877331
9,028531;-0,889763
9,236855;-0,901546
9,44471;-0,912666
9,652085;-0,923107
9,85897;-0,932853
10,065353;-0,941889
10,271224;-0,9502
10,476571;-0,95777
10,681385;-0,964584
10,885653;-0,970626
11,089365;-0,975881
11,29251;-0,980334
11,495078;-0,983968
11,697057;-0,986769
11,898436;-0,988722
12,099204;-0,98981
12,299352;-0,990018
12,498866;-0,989331
12,697738;-0,987734
12,895955;-0,985211
13,093508;-0,981746
13,290384;-0,977324
13,486574;-0,97193
13,682066;-0,965548
13,876849;-0,958164
14,070913;-0,94976
14,264247;-0,940323
14,456839;-0,929836
14,648678;-0,918284
14,839755;-0,905652
15,030057;-0,891924
15,219575;-0,877085
15,408297;-0,861119
15,596212;-0,844011
15,783309;-0,825746
15,969578;-0,806307
16,155007;-0,785681
16,339586;-0,76385
16,523304;-0,7408
16,706149;-0,716516
16,888111;-0,690982
17,06918;-0,664182
17,249343;-0,636101
17,428591;-0,606723
17,606912;-0,576034
17,784296;-0,544018
17,960731;-0,510658
18,136206;-0,475941
18,310711;-0,43985
18,484236;-0,40237
18,656768;-0,363486
18,828297;-0,323182
18,998812;-0,281442
19,168302;-0,238252
19,336757;-0,193596
19,504165;-0,147458
19,670515;-0,099823
19,835797;-0,050675
20;0
20,163108;0,052213
20,325091;0,105953
20,485913;0,161201
20,645538;0,217941
20,80393;0,276156
20,961055;0,335829
21,116877;0,396942
21,271361;0,459478
21,42447;0,52342
21,576169;0,58875
21,726424;0,655453
21,875197;0,72351
22,022455;0,792904
22,168161;0,863618
22,31228;0,935636
22,454777;1,008939
22,595615;1,083511
22,73476;1,159335
22,872176;1,236392
23,007827;1,314667
23,141679;1,394142
23,273695;1,4748
23,40384;1,556624
23,532078;1,639595
23,658375;1,723699
23,782694;1,808916
23,905;1,895231
24,025258;1,982625
24,143431;2,071082
24,259486;2,160584
24,373385;2,251115
24,485094;2,342657
24,594578;2,435193
24,7018;2,528706
24,806725;2,623178
24,909317;2,718593
25,009542;2,814934
25,107364;2,912182
25,202747;3,010321
25,295655;3,109335
25,386054;3,209205
25,473907;3,309914
25,55918;3,411446
25,641836;3,513783
25,721841;3,616908
25,799158;3,720804
25,873753;3,825453
25,945589;3,930839
26,014632;4,036944
26,080846;4,143752
26,144195;4,251244
26,204643;4,359404
26,262156;4,468215
26,316698;4,57766
26,368234;4,68772
26,416727;4,79838
26,462143;4,909622
26,504445;5,021429
26,543599;5,133783
26,579569;5,246668
26,612319;5,360067
26,641814;5,473961
26,668019;5,588334
26,690897;5,70317
26,710415;5,81845
26,726535;5,934157
26,739222;6,050275
26,748442;6,166786
26,754158;6,283673
26,756335;6,400918
26,754938;6,518506
26,74993;6,636418
26,741278;6,754637
26,728944;6,873146
26,712894;6,991929
26,693092;7,110967
26,669502;7,230244
26,64209;7,349742
26,61082;7,469445
26,575655;7,589335
26,536561;7,709395
26,493502;7,829607
26,446443;7,949956
26,395349;8,070423
26,340182;8,190991
26,280909;8,311643
26,217494;8,432362
26,149901;8,553132
26,078095;8,673933
26,00204;8,794751
25,9217;8,915567
25,837041;9,036363
25,748027;9,157124
25,654622;9,277832
25,556791;9,398469
25,454498;9,519019
25,347708;9,639464
25,236385;9,759788
25,120495;9,879972
25;10
24,874888;10,119862
24,745229;10,239573
24,611117;10,359158
24,472645;10,478639
24,329904;10,598039
24,182989;10,717382
24,031992;10,836692
23,877006;10,955991
23,718124;11,075302
23,555438;11,194649
23,389041;11,314055
23,219027;11,433543
23,045488;11,553137
22,868518;11,672859
22,688208;11,792734
22,504651;11,912783
22,317942;12,033031
22,128172;12,153501
21,935434;12,274215
21,739821;12,395198
21,541426;12,516471
21,340343;12,63806
21,136663;12,759986
20,930479;12,882273
20,721886;13,004945
20,510974;13,128024
20,297838;13,251534
20,082569;13,375497
19,865262;13,499938
19,646008;13,62488
19,424902;13,750345
19,202034;13,876356
18,977499;14,002939
18,751389;14,130114
18,523797;14,257906
18,294816;14,386338
18,064539;14,515433
17,833059;14,645214
17,600468;14,775705
17,366859;14,906928
